id,sonification_method_id,tempo,key,name,description
0,0,4,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Guitar, Medium",Slow speed
1,0,6,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Guitar, Slow",Medium speed
2,0,8,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Guitar, Fast",Faster speed
3,1,4,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Flute, Long, Slow",Slow speed
4,1,6,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Flute, Long, Medium",Medium speed
5,1,8,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Flute, Long, Fast",Faster speed
6,2,4,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Flute, Staccato, Slow",Slow speed
7,2,6,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Flute, Staccato, Medium",Medium speed
8,2,8,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Flute, Staccato, Fast",Faster speed
9,3,4,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Piano, Slow",Slow speed
10,3,6,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Piano, Medium",Medium speed
11,3,8,"[[""C3"",""D3"",""E3"",""G3"",""B3"",""C4"",""D4"",""E4"",""G4"",""B4"",""C5"",""D5"",""E5"",""G5"",""B5""]]","Piano, Fast",Faster speed
