# time	rate	err	exposure
297029408.88503	6.9771	0.2899	100.00
297029508.88503	6.8594	0.2915	100.00
297029608.88503	7.0431	0.2930	100.00
297029708.88503	7.4409	0.3057	100.00
297029808.88503	6.9688	0.3083	100.00
297029908.88503	7.1502	0.2952	100.00
297030008.88503	7.7217	0.3147	100.00
297030108.88503	8.1181	0.3157	100.00
297030208.88503	7.8035	0.3127	100.00
297030308.88503	8.3312	0.3200	100.00
297030408.88503	7.6128	0.3078	100.00
297030508.88503	7.9830	0.3211	100.00
297030608.88503	8.3501	0.3245	100.00
297030708.88503	7.7424	0.3213	100.00
297030808.88503	8.1840	0.3125	100.00
297030908.88503	8.1603	0.3199	100.00
297031008.88503	7.6414	0.3049	100.00
297031108.88503	7.9424	0.3086	100.00
297031208.88503	7.5117	0.2995	100.00
297031308.88503	8.0321	0.3175	100.00
297031408.88503	8.4007	0.3173	100.00
297031508.88503	7.8566	0.3085	100.00
297031608.88503	7.5718	0.3217	100.00
297031708.88503	7.4102	0.2987	100.00
297031808.88503	7.2028	0.3101	100.00
297031908.88503	6.9331	0.3015	100.00
297032008.88503	7.8735	0.3172	100.00
297032108.88503	7.2081	0.3020	100.00
297032308.88503	7.6260	0.3283	100.00
297032408.88503	6.9775	0.3427	100.00
297032508.88503	6.9459	0.3062	100.00
297032608.88503	6.4056	0.2822	100.00
297032708.88503	7.3341	0.3015	100.00
297032808.88503	6.7791	0.2887	100.00
297032908.88503	6.2988	0.2848	100.00
297033008.88503	6.9402	0.2924	100.00
297033108.88503	7.3051	0.2957	100.00
297033208.88503	7.2874	0.3084	100.00
297033308.88503	7.2806	0.3053	100.00
297033408.88503	7.8752	0.3084	100.00
297033508.88503	8.2220	0.3199	100.00
297033608.88503	8.5441	0.3174	100.00
297033708.88503	7.9695	0.3143	100.00
297033808.88503	8.2960	0.3201	100.00
297033908.88503	7.3823	0.3090	100.00
297034008.88503	7.6361	0.3092	100.00
297034108.88503	7.8009	0.3177	100.00
297034208.88503	8.0874	0.3233	100.00
297034308.88503	8.0913	0.3164	100.00
297034408.88503	7.3837	0.3023	100.00
297034508.88503	7.3492	0.2989	100.00
297034608.88503	7.7007	0.3106	100.00
297034708.88503	7.6072	0.3147	100.00
297034808.88503	7.8082	0.3229	100.00
297034908.88503	7.4654	0.3121	100.00
297035008.88503	7.7074	0.3079	100.00
297035108.88503	7.9660	0.3112	100.00
297035208.88503	7.9514	0.3179	100.00
297035308.88503	7.9291	0.3095	100.00
297035408.88503	7.3824	0.3078	100.00
297035508.88503	7.0379	0.2985	100.00
297035608.88503	8.2917	0.3172	100.00
297035708.88503	8.1219	0.3140	100.00
297035808.88503	7.8855	0.3074	100.00
297035908.88503	7.1265	0.2995	100.00
297036008.88503	7.4537	0.3083	100.00
297036108.88503	7.0625	0.3048	100.00
297036208.88503	6.7216	0.2866	100.00
297036308.88503	6.6277	0.2871	100.00
297036408.88503	7.3418	0.3008	100.00
297036508.88503	6.9258	0.3020	100.00
297036608.88503	7.8171	0.3122	100.00
297036708.88503	6.9221	0.3049	100.00
297036808.88503	6.7751	0.2893	100.00
297036908.88503	6.8557	0.3084	100.00
297037008.88503	6.8353	0.2959	100.00
297037108.88503	7.0659	0.3013	100.00
297037208.88503	6.0363	0.2686	100.00
297037308.88503	6.5873	0.2872	100.00
297037408.88503	6.7840	0.2843	100.00
297037508.88503	7.1661	0.3035	100.00
297037608.88503	7.8971	0.3096	100.00
297037708.88503	7.7557	0.3067	100.00
297037808.88503	7.3793	0.2974	100.00
297037908.88503	7.4023	0.2964	100.00
297038008.88503	7.3638	0.3142	100.00
297038108.88503	8.1268	0.3157	100.00
297038208.88503	7.4135	0.3062	100.00
297038308.88503	7.9252	0.3142	100.00
297038408.88503	7.9066	0.3136	100.00
297038508.88503	7.3411	0.3064	100.00
297038608.88503	7.3271	0.3027	100.00
297038708.88503	7.2026	0.3033	100.00
297038808.88503	6.9451	0.2888	100.00
297038908.88503	7.4511	0.3048	100.00
297039008.88503	6.7199	0.2964	100.00
297039108.88503	7.5638	0.3088	100.00
297039208.88503	8.3494	0.3217	100.00
297039308.88503	8.2548	0.3203	100.00
297039408.88503	7.6426	0.3143	100.00
297039508.88503	7.3793	0.3056	100.00
297039608.88503	7.2586	0.3089	100.00
297039708.88503	7.2509	0.3080	100.00
297039808.88503	7.3623	0.3115	100.00
297039908.88503	6.8285	0.3000	100.00
297040008.88503	6.9191	0.3005	100.00
297040108.88503	5.9927	0.2770	100.00
297040208.88503	6.5171	0.2853	100.00
297040308.88503	6.3703	0.2808	100.00
297040408.88503	6.4369	0.2879	100.00
297040508.88503	6.6493	0.2928	100.00
297040608.88503	7.0824	0.2912	100.00
297040708.88503	6.3243	0.2777	100.00
297040808.88503	6.9252	0.2904	100.00
297040908.88503	6.9770	0.2868	100.00
297041008.88503	7.2328	0.2933	100.00
297041108.88503	7.6291	0.3069	100.00
297041208.88503	7.5856	0.3049	100.00
297041308.88503	7.5515	0.3144	100.00
297041408.88503	7.5175	0.3010	100.00
297041508.88503	6.8689	0.3016	100.00
297041608.88503	6.8362	0.3046	100.00
297041708.88503	7.1353	0.2985	100.00
297041808.88503	6.2792	0.2844	100.00
297041908.88503	7.0987	0.3026	100.00
297042008.88503	6.3216	0.2792	100.00
297042108.88503	6.5003	0.2765	100.00
297042208.88503	6.6033	0.3015	100.00
297042308.88503	6.4066	0.2963	100.00
297042408.88503	6.8260	0.2980	100.00
297042508.88503	7.0245	0.2961	100.00
297042608.88503	6.7000	0.2931	100.00
297042708.88503	7.3226	0.3049	100.00
297042808.88503	7.4246	0.3002	100.00
297042908.88503	7.5911	0.3068	100.00
297043008.88503	7.7655	0.3189	100.00
297043108.88503	7.1408	0.2950	100.00
297043208.88503	7.1394	0.3015	100.00
297043308.88503	7.4603	0.3121	100.00
297043408.88503	7.8174	0.3194	100.00
297043508.88503	6.8288	0.2928	100.00
297043608.88503	6.9305	0.2937	100.00
297043708.88503	6.8283	0.2883	100.00
297043808.88503	6.7147	0.2907	100.00
297043908.88503	6.5097	0.2877	100.00
297044008.88503	5.9758	0.2718	100.00
297044108.88503	6.3433	0.3000	100.00
297044208.88503	6.3059	0.2787	100.00
297044308.88503	6.1375	0.2778	100.00
297044408.88503	6.4319	0.2822	100.00
297044508.88503	6.1293	0.2794	100.00
297044608.88503	6.5787	0.2965	100.00
297044708.88503	6.5410	0.2993	100.00
297044808.88503	6.3924	0.2866	100.00
297044908.88503	5.6306	0.2724	100.00
297045008.88503	5.8284	0.2822	100.00
297045108.88503	6.6485	0.2915	100.00
297045208.88503	5.8974	0.2716	100.00
297045308.88503	6.8427	0.2895	100.00
297045408.88503	7.3536	0.3020	100.00
297045508.88503	7.4283	0.3047	100.00
297045608.88503	6.8141	0.2943	100.00
297045708.88503	6.6713	0.2911	100.00
297045808.88503	7.0795	0.2991	100.00
297045908.88503	6.8852	0.2913	100.00
297046008.88503	6.6457	0.3022	100.00
297046108.88503	6.8897	0.3068	100.00
297046208.88503	7.5681	0.3106	100.00
297046308.88503	7.9796	0.3158	100.00
297046408.88503	7.7578	0.3136	100.00
297046508.88503	6.9664	0.3121	100.00
297046608.88503	8.1811	0.3206	100.00
297046708.88503	7.9133	0.3174	100.00
297046808.88503	8.3716	0.3177	100.00
297046908.88503	7.5085	0.3161	100.00
297047008.88503	7.2127	0.3035	100.00
297047108.88503	8.7817	0.3312	100.00
297047208.88503	8.6855	0.3255	100.00
297047308.88503	7.9945	0.3155	100.00
297047408.88503	8.6444	0.3418	100.00
297047508.88503	8.6219	0.3263	100.00
297047608.88503	8.8469	0.3368	100.00
297047708.88503	9.0161	0.3520	100.00
297047808.88503	8.2321	0.3178	100.00
297047908.88503	8.1888	0.3210	100.00
297048008.88503	8.5322	0.3413	100.00
297048108.88503	8.1618	0.3192	100.00
297048208.88503	7.9657	0.3149	100.00
297048308.88503	8.0206	0.3148	100.00
297048408.88503	8.3729	0.3292	100.00
297048508.88503	8.6156	0.3205	100.00
297048608.88503	8.0401	0.3241	100.00
297048708.88503	7.0756	0.2902	100.00
297048808.88503	6.9773	0.3130	100.00
297048908.88503	7.0281	0.2952	100.00
297049008.88503	7.1841	0.2989	100.00
297049108.88503	7.1458	0.3003	100.00
297049208.88503	7.4010	0.3096	100.00
297049308.88503	7.4514	0.3028	100.00
297049408.88503	7.6788	0.3069	100.00
297049508.88503	7.5162	0.3020	100.00
297049608.88503	8.4779	0.3287	100.00
297049708.88503	8.1040	0.3152	100.00
297049808.88503	7.9426	0.3202	100.00
297049908.88503	7.5567	0.3037	100.00
297050008.88503	8.0699	0.3179	100.00
297050108.88503	8.0987	0.3241	100.00
297050208.88503	8.0742	0.3091	100.00
297050308.88503	7.8804	0.3162	100.00
297050408.88503	7.9517	0.3158	100.00
297050508.88503	7.5997	0.3115	100.00
297050608.88503	8.1241	0.3133	100.00
297050708.88503	8.0827	0.3154	100.00
297050808.88503	8.1346	0.3182	100.00
297050908.88503	8.0967	0.3272	100.00
297051008.88503	8.4058	0.3243	100.00
297051108.88503	8.2793	0.3242	100.00
297051208.88503	8.5586	0.3317	100.00
297051308.88503	8.8992	0.3399	100.00
297051408.88503	7.7923	0.3177	100.00
297051508.88503	9.1968	0.3365	100.00
297051608.88503	8.6384	0.3232	100.00
297051708.88503	8.5204	0.3240	100.00
297051808.88503	8.1645	0.3237	100.00
297051908.88503	7.9397	0.3228	100.00
297052008.88503	7.3770	0.3017	100.00
297052108.88503	8.2233	0.3211	100.00
297052208.88503	7.3843	0.3154	100.00
297052308.88503	7.0394	0.3060	100.00
297052408.88503	7.4184	0.3040	100.00
297052508.88503	7.3290	0.3010	100.00
297052608.88503	7.6761	0.3139	100.00
297052708.88503	7.6673	0.3165	100.00
297052808.88503	7.4339	0.3059	100.00
297052908.88503	7.1856	0.3017	100.00
297053008.88503	7.7384	0.3174	100.00
297053108.88503	7.1998	0.2978	100.00
297053208.88503	7.4575	0.2956	100.00
297053308.88503	7.4456	0.2972	100.00
297053408.88503	7.3322	0.3061	100.00
297053508.88503	8.2446	0.3226	100.00
297053608.88503	7.8764	0.3172	100.00
297053708.88503	7.1964	0.3000	100.00
297053808.88503	8.3359	0.3246	100.00
297053908.88503	6.8803	0.2959	100.00
297054008.88503	7.9254	0.3146	100.00
297054108.88503	8.2211	0.3169	100.00
297054208.88503	7.8727	0.3104	100.00
297054308.88503	7.8810	0.3160	100.00
297054408.88503	7.8334	0.3066	100.00
297054508.88503	7.7122	0.3286	100.00
297054608.88503	7.0348	0.2969	100.00
297054708.88503	7.6388	0.3090	100.00
297054808.88503	7.6605	0.3074	100.00
297054908.88503	7.8472	0.3132	100.00
297055008.88503	7.9750	0.3108	100.00
297055108.88503	8.3053	0.3248	100.00
297055208.88503	7.7902	0.3142	100.00
297055308.88503	8.6514	0.3354	100.00
297055408.88503	8.5740	0.3253	100.00
297055508.88503	8.6075	0.3293	100.00
297055608.88503	9.6340	0.3424	100.00
297055708.88503	8.6265	0.3259	100.00
297055808.88503	8.9883	0.3371	100.00
297055908.88503	8.0729	0.3225	100.00
297056008.88503	8.9702	0.3332	100.00
297056108.88503	8.3566	0.3235	100.00
297056208.88503	7.7275	0.3191	100.00
297056308.88503	8.6656	0.3216	100.00
297056408.88503	7.4811	0.3001	100.00
297056508.88503	7.8527	0.3122	100.00
297056608.88503	7.8506	0.3077	100.00
297056708.88503	8.0177	0.3203	100.00
297056808.88503	7.6699	0.3156	100.00
297056908.88503	7.1094	0.3044	100.00
297057008.88503	7.2980	0.2992	100.00
297057108.88503	7.1291	0.3147	100.00
